timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1673452654249,127,about page,200,OK,tidal_users 1-72,text,true,,65471,126,9,9,https://www.twitch.tv/p/en/about/,69,0,0
1673452654323,80,about page,200,OK,tidal_users 1-73,text,true,,65471,126,9,9,https://www.twitch.tv/p/en/about/,58,0,0
1673452654376,66,privacy policy page,200,OK,tidal_users 1-75,text,true,,67808,141,9,9,https://www.twitch.tv/p/en/legal/privacy-notice/,60,0,0
1673452653825,624,careers page,200,OK,tidal_users 1-62,text,true,,40013,123,9,9,https://www.twitch.tv/jobs/en/,610,0,0
1673452654133,325,careers page,200,OK,tidal_users 1-69,text,true,,40013,123,8,8,https://www.twitch.tv/jobs/en/,315,0,0
1673452654404,86,privacy policy page,200,OK,tidal_users 1-73,text,true,,67808,141,7,7,https://www.twitch.tv/p/en/legal/privacy-notice/,63,0,0
1673452654367,125,about page,200,OK,tidal_users 1-74,text,true,,65471,126,7,7,https://www.twitch.tv/p/en/about/,69,0,0
1673452654376,133,privacy policy page,200,OK,tidal_users 1-72,text,true,,67808,141,7,7,https://www.twitch.tv/p/en/legal/privacy-notice/,75,0,0
1673452654237,296,careers page,200,OK,tidal_users 1-70,text,true,,40013,123,7,7,https://www.twitch.tv/jobs/en/,285,0,0
1673452654228,358,careers page,200,OK,tidal_users 1-66,text,true,,40013,123,6,6,https://www.twitch.tv/jobs/en/,303,0,0
1673452654493,123,privacy policy page,200,OK,tidal_users 1-74,text,true,,67808,141,5,5,https://www.twitch.tv/p/en/legal/privacy-notice/,68,0,0
1673452654361,315,careers page,200,OK,tidal_users 1-71,text,true,,40013,123,5,5,https://www.twitch.tv/jobs/en/,299,0,0
1673452654443,287,careers page,200,OK,tidal_users 1-75,text,true,,40013,123,4,4,https://www.twitch.tv/jobs/en/,283,0,0
1673452654490,296,careers page,200,OK,tidal_users 1-73,text,true,,40013,123,3,3,https://www.twitch.tv/jobs/en/,285,0,0
1673452654509,322,careers page,200,OK,tidal_users 1-72,text,true,,40013,123,2,2,https://www.twitch.tv/jobs/en/,300,0,0
1673452654616,324,careers page,200,OK,tidal_users 1-74,text,true,,40013,123,1,1,https://www.twitch.tv/jobs/en/,303,0,0
